GEO_ID,NAME,CP03_2009_2013_033E,B01003_001E
32001,"Churchill County, Nevada",6.9,24010
32005,"Douglas County, Nevada",1.6,47828
32027,"Pershing County, Nevada",34.6,6611
32013,"Humboldt County, Nevada",31.6,16904
32033,"White Pine County, Nevada",25,9739
32007,"Elko County, Nevada",25.9,52252
32017,"Lincoln County, Nevada",12.2,5174
32023,"Nye County, Nevada",7.8,43705
32031,"Washoe County, Nevada",1,450486
32003,"Clark County, Nevada",0.3,2141574
32510,"Carson City, Nevada",1,54467
32019,"Lyon County, Nevada",3.6,53155
32015,"Lander County, Nevada",41.8,5746
