"GEO_ID","id"
"NAME","Geographic Area Name"
"CP03_2015_001E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over"
"CP03_2015_002E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"CP03_2015_003E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"CP03_2015_004E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"CP03_2015_005E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"CP03_2015_006E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"CP03_2015_007E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"CP03_2015_008E","2015 Estimate!!EMPLOYMENT STATUS!!Civilian labor force"
"CP03_2015_009E","2015 Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate"
"CP03_2015_010E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over"
"CP03_2015_011E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force"
"CP03_2015_012E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force"
"CP03_2015_013E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed"
"CP03_2015_014E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years"
"CP03_2015_015E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force"
"CP03_2015_016E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years"
"CP03_2015_017E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force"
"CP03_2015_018E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over"
"CP03_2015_019E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
"CP03_2015_020E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
